,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,3735.138
1,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,443.4228
2,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,2097.27
3,19.2,Regular,0.0,Fruits and Vegetables,182.095,OUT010,Not Applicable,Tier 3,Grocery Store,732.38
4,8.93,Low Fat,0.0,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,994.7052
5,10.395,Regular,0.0,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,556.6088
6,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,343.5528
7,12.857645184136183,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,4022.7636
8,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,Not Applicable,Tier 2,Supermarket Type1,1076.5986
9,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,Not Applicable,Tier 2,Supermarket Type1,4710.535
10,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,1516.0266
11,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,2187.153
12,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,1589.2646
13,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,2145.2076
14,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,1977.426
15,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,1547.3192
16,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,1621.8888
17,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,718.3982
18,12.857645184136183,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,2303.668
19,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,2748.4224
20,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,3775.086
21,12.857645184136183,Regular,0.035399923,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,4064.0432
22,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,1587.2672
23,12.857645184136183,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,214.3876
24,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,4078.025
25,13.0,Low Fat,0.099887103,Household,45.906,OUT017,Not Applicable,Tier 2,Supermarket Type1,838.908
26,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,1065.28
27,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,308.9312
28,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,Not Applicable,Tier 3,Grocery Store,178.4344
29,12.857645184136183,Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,125.8362
30,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,Not Applicable,Tier 3,Grocery Store,163.7868
31,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,2741.7644
32,18.7,Low Fat,0.0,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,3068.0064
33,17.85,Low Fat,0.0,Breads,93.1436,OUT045,Not Applicable,Tier 2,Supermarket Type1,2174.5028
34,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,2085.2856
35,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,3791.0652
36,12.857645184136183,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,2797.6916
37,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,1609.9044
38,12.857645184136183,Regular,0.123111453,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,388.1614
39,12.857645184136183,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,2180.495
40,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,3435.528
41,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,High,Tier 3,Supermarket Type1,2150.534
42,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,2527.3768
43,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,6768.5228
44,12.15,Regular,0.042277867,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,373.5138
45,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,Not Applicable,Tier 3,Grocery Store,358.2004
46,19.6,Low Fat,0.0,Health and Hygiene,153.3024,OUT045,Not Applicable,Tier 2,Supermarket Type1,2428.8384
47,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,Not Applicable,Tier 2,Supermarket Type1,5815.0972
48,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,2576.646
49,12.857645184136183,Regular,0.255394896,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,780.3176
50,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,Small,Tier 1,Supermarket Type1,3134.5864
51,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,High,Tier 3,Supermarket Type1,850.8924
52,9.895,Regular,0.028696932,Canned,117.0492,OUT013,High,Tier 3,Supermarket Type1,810.9444
